Time,Interval_1,Interval_2,Interval_3,Interval_4,Interval_5,Interval_6,Interval_7,Interval_8,Interval_9,Interval_10,Interval_11,Interval_12,Interval_13,Interval_14,Interval_15,Interval_16,Interval_17,Interval_18,Interval_19,Interval_20,Interval_21,Interval_22,Interval_23,Interval_24,Interval_25,Interval_26,Interval_27,Interval_28,Interval_29,Interval_30,Interval_31,Interval_32,Interval_33,Interval_34,Interval_35,Interval_36,Interval_37,Interval_38,Interval_39,Interval_40,Interval_41,Interval_42,Interval_43,Interval_44,Interval_45,Interval_46,Interval_47,Interval_48
28/11/2022 22:00,114,118,121,123,125,125,125,124,122,119,115,111,107,102,97,91,85,79,73,67,61,55,49,42,36,30,24,19,15,12,14,17,22,28,34,40,47,53,59,65,71,77,83,89,95,100,105,110
28/11/2022 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,29,41,41,52,62,71,78,84,89,92,94,94,91,88,84,78,71,63,63,53,43,20,20,3,3,0,0,0,0
28/11/2022 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,29,41,51,61,69,75,81,85,87,88,88,89,90,88,84,78,71,63,53,43,31,20,10,3,0,0,0,0,0
28/11/2022 22:30,118,121,123,125,125,125,124,122,119,115,111,107,102,97,91,85,79,73,67,61,55,49,42,36,30,24,19,15,12,14,17,22,28,34,40,47,53,59,65,71,77,83,89,95,100,105,110,114
28/11/2022 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,29,41,41,52,62,71,78,84,89,92,94,94,91,88,84,78,71,63,63,53,43,20,20,3,3,0,0,0,0,0
28/11/2022 22:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,29,41,51,61,69,75,81,85,87,88,88,89,90,88,84,78,71,63,53,43,31,20,10,3,0,0,0,0,0,0
28/11/2022 23:00,121,123,125,125,125,124,122,119,115,111,107,102,97,91,85,79,73,67,61,55,49,42,36,30,24,19,15,12,14,17,22,28,34,40,47,53,59,65,71,77,83,89,95,100,105,110,114,118
28/11/2022 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,29,41,41,52,62,71,78,84,89,92,94,94,91,88,84,78,71,63,63,53,43,20,20,3,3,0,0,0,0,0,0
28/11/2022 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,17,29,41,51,61,69,75,81,85,87,88,88,89,90,88,84,78,71,63,53,43,31,20,10,3,0,0,0,0,0,0,0
28/11/2022 23:30,123,125,125,125,124,122,119,115,111,107,102,97,91,85,79,73,67,61,55,49,42,36,30,24,19,15,12,14,17,22,28,34,40,47,53,59,65,71,77,83,89,95,100,105,110,114,118,121
