Date,Demand,Spot_Price,Solar_Generation,Network_Charge,Retailer_Charges
1/01/2022 0:00,105.16,11.03655467,0.905,0.7098,20.37
1/01/2022 0:30,100.88,10.35565833,0.894,0.7098,20.37
1/01/2022 1:00,88.58,8.855358,0.698,0.7098,20.37
1/01/2022 1:30,81.24,8.110907333,0.6,0.7098,20.37
1/01/2022 2:00,79.54,7.844621333,0.757,0.7098,20.37
1/01/2022 2:30,79.22,9.046159667,0.57,0.7098,20.37
1/01/2022 3:00,78.14,7.955848667,0.406,0.7098,20.37
1/01/2022 3:30,75.56,4.727105333,0.502,0.7098,20.37
1/01/2022 4:00,78.38,6.094396167,0.535,0.7098,20.37
1/01/2022 4:30,78.86,4.816466167,0.673,0.7098,20.37
1/01/2022 5:00,82.38,4.658806833,0.688,0.7098,20.37
1/01/2022 5:30,116.04,2.839892,0.261,0.7098,20.37
1/01/2022 6:00,120.9,2.219432167,0.218,0.7098,20.37
1/01/2022 6:30,114.86,1.0973305,0.297,0.7098,20.37
1/01/2022 7:00,111.88,1.553947833,0.111,0.7098,20.37
1/01/2022 7:30,113.12,2.093859833,0.065,0.7098,20.37
1/01/2022 8:00,129.62,1.886380833,0.095,0.7098,20.37
1/01/2022 8:30,151.1,2.218296,0.033,0.7098,20.37
1/01/2022 9:00,122.76,3.437585,0.014,0.7098,20.37
1/01/2022 9:30,104.92,1.775888167,0,0.7098,20.37
1/01/2022 10:00,94.06,2.149543667,0,0.7098,20.37
1/01/2022 10:30,104.2,4.8295475,0,0.7098,20.37
1/01/2022 11:00,98.68,6.759849667,0,0.7098,20.37
1/01/2022 11:30,119.86,6.995274167,0,0.7098,20.37
1/01/2022 12:00,142.76,8.364221,0,0.7098,20.37
1/01/2022 12:30,145.64,7.437971167,0,0.7098,20.37
1/01/2022 13:00,152.9,7.740966667,0,0.7098,20.37
1/01/2022 13:30,157.68,9.062488833,0,0.7098,20.37
1/01/2022 14:00,157.72,8.9242375,0,0.7098,20.37
1/01/2022 14:30,155.7,8.404052,0,0.7098,20.37
1/01/2022 15:00,154.26,10.110194,0,0.7098,20.37
1/01/2022 15:30,156.24,11.19786733,0,0.7098,20.37
1/01/2022 16:00,149.08,7.289069333,0,0.7098,20.37
1/01/2022 16:30,147,6.9564475,0,0.7098,20.37
